drug_id,drug_name
DB00001,Lepirudin
DB00002,Cetuximab
DB00004,Denileukin diftitox
DB00005,Etanercept
DB00006,Bivalirudin
DB00007,Leuprolide
DB00008,Peginterferon alfa-2a
DB00009,Alteplase
DB00011,Interferon alfa-n1
DB00012,Darbepoetin alfa
DB00013,Urokinase
DB00014,Goserelin
DB00015,Reteplase
DB00016,Erythropoietin
DB00017,Salmon calcitonin
DB00018,Interferon alfa-n3
DB00019,Pegfilgrastim
DB00020,Sargramostim
DB00022,Peginterferon alfa-2b
DB00023,Asparaginase Escherichia coli
DB00024,Thyrotropin alfa
DB00025,"Antihemophilic factor, human recombinant"
DB00026,Anakinra
DB00027,Gramicidin D
DB00028,Human immunoglobulin G
DB00029,Anistreplase
DB00030,Insulin human
DB00031,Tenecteplase
DB00033,Interferon gamma-1b
DB00034,"Interferon alfa-2a, Recombinant"
DB00035,Desmopressin
DB00036,Coagulation factor VIIa Recombinant Human
DB00039,Palifermin
DB00040,Glucagon
DB00041,Aldesleukin
DB00042,Botulinum Toxin Type B
DB00043,Omalizumab
DB00046,Insulin lispro
DB00047,Insulin glargine
DB00048,Collagenase clostridium histolyticum
DB00049,Rasburicase
DB00051,Adalimumab
DB00052,Somatotropin
DB00054,Abciximab
DB00055,Drotrecogin alfa
DB00056,Gemtuzumab ozogamicin
DB00057,Indium In-111 satumomab pendetide
DB00058,Alpha-1-proteinase inhibitor
DB00059,Pegaspargase
DB00060,Interferon beta-1a
DB00061,Pegademase
DB00063,Eptifibatide
DB00065,Infliximab
DB00066,Follitropin
DB00067,Vasopressin
DB00068,Interferon beta-1b
DB00069,Interferon alfacon-1
DB00070,Hyaluronidase (ovine)
DB00071,Insulin pork
DB00072,Trastuzumab
DB00073,Rituximab
DB00074,Basiliximab
DB00075,Muromonab
DB00076,Digoxin Immune Fab (Ovine)
DB00078,Ibritumomab tiuxetan
DB00080,Daptomycin
DB00081,Tositumomab
DB00082,Pegvisomant
DB00083,Botulinum toxin type A
DB00085,Pancrelipase
DB00086,Streptokinase
DB00087,Alemtuzumab
DB00089,Capromab pendetide
DB00091,Cyclosporine
DB00092,Alefacept
DB00093,Felypressin
DB00095,Efalizumab
DB00098,Antithymocyte immunoglobulin (rabbit)
DB00099,Filgrastim
DB00100,Coagulation Factor IX (Recombinant)
DB00103,Agalsidase beta
DB00104,Octreotide
DB00105,Interferon alfa-2b
DB00107,Oxytocin
DB00108,Natalizumab
DB00109,Enfuvirtide
DB00110,Palivizumab
DB00111,Daclizumab
DB00112,Bevacizumab
DB00113,Technetium Tc-99m arcitumomab
DB00115,Cyanocobalamin
DB00116,Tetrahydrofolic acid
DB00118,Ademetionine
DB00120,Phenylalanine
DB00122,Choline
DB00126,Ascorbic acid
DB00127,Spermine
DB00130,L-Glutamine
DB00132,alpha-Linolenic acid
DB00134,Methionine
DB00136,Calcitriol
DB00139,Succinic acid
DB00140,Riboflavin
DB00142,Glutamic acid
DB00145,Glycine
DB00146,Calcifediol
DB00150,Tryptophan
DB00152,Thiamine
DB00153,Ergocalciferol
DB00155,Citrulline
DB00158,Folic acid
DB00159,Icosapent
DB00162,Vitamin A
DB00163,Vitamin E
DB00165,Pyridoxine
DB00166,Lipoic acid
DB00168,Aspartame
DB00169,Cholecalciferol
DB00170,Menadione
DB00173,Adenine
DB00175,Pravastatin
DB00176,Fluvoxamine
DB00177,Valsartan
DB00178,Ramipril
DB00179,Masoprocol
DB00180,Flunisolide
DB00181,Baclofen
DB00182,Amphetamine
DB00184,Nicotine
DB00185,Cevimeline
DB00186,Lorazepam
DB00187,Esmolol
DB00188,Bortezomib
DB00189,Ethchlorvynol
DB00190,Carbidopa
DB00191,Phentermine
DB00193,Tramadol
DB00194,Vidarabine
DB00195,Betaxolol
DB00196,Fluconazole
DB00197,Troglitazone
DB00198,Oseltamivir
DB00199,Erythromycin
DB00200,Hydroxocobalamin
DB00201,Caffeine
DB00202,Succinylcholine
DB00203,Sildenafil
DB00204,Dofetilide
DB00205,Pyrimethamine
DB00206,Reserpine
DB00207,Azithromycin
DB00208,Ticlopidine
DB00209,Trospium
DB00210,Adapalene
DB00211,Midodrine
DB00212,Remikiren
DB00213,Pantoprazole
DB00214,Torasemide
DB00215,Citalopram
DB00216,Eletriptan
DB00217,Bethanidine
DB00218,Moxifloxacin
DB00219,Oxyphenonium
DB00220,Nelfinavir
DB00221,Isoetharine
DB00222,Glimepiride
DB00223,Diflorasone
DB00224,Indinavir
DB00225,Gadodiamide
DB00226,Guanadrel
DB00227,Lovastatin
DB00228,Enflurane
DB00229,Cefotiam
DB00230,Pregabalin
DB00231,Temazepam
DB00232,Methyclothiazide
DB00233,Aminosalicylic acid
DB00234,Reboxetine
DB00235,Milrinone
DB00236,Pipobroman
DB00237,Butabarbital
DB00238,Nevirapine
DB00239,Oxiconazole
DB00240,Alclometasone
DB00241,Butalbital
DB00242,Cladribine
DB00243,Ranolazine
DB00244,Mesalazine
DB00245,Benzatropine
DB00246,Ziprasidone
DB00247,Methysergide
DB00248,Cabergoline
DB00250,Dapsone
DB00252,Phenytoin
DB00253,Medrysone
DB00254,Doxycycline
DB00255,Diethylstilbestrol
DB00256,Lymecycline
DB00257,Clotrimazole
DB00258,Calcium acetate
DB00259,Sulfanilamide
DB00260,Cycloserine
DB00261,Anagrelide
DB00262,Carmustine
DB00263,Sulfisoxazole
DB00264,Metoprolol
DB00266,Dicoumarol
DB00267,Cefmenoxime
DB00268,Ropinirole
